timestamp,PRK_NM,CPCTY,CUR_PRK_CNT
2025-01-09 15:28:12,여의도호텔(舊세우빌딩)앞(구),7,
2025-01-09 15:28:12,동아빌딩앞(구),9,
2025-01-09 15:28:12,금융투자교육원앞(舊경호빌딩)(구),9,
2025-01-09 15:28:12,여의도순복음교회,200,
2025-01-09 15:28:12,여의도순복음교회,118,
2025-01-09 15:28:12,현대차증권빌딩,291,
2025-01-09 15:28:12,IFC 서울 주차장,2085,
2025-01-09 15:28:12,여의도공원앞1 노상주차장(구),14,
2025-01-09 15:28:12,리버타워,513,
2025-01-09 15:28:12,금융투자협회,315,
2025-01-09 15:28:12,여의서로 공영주차장(시),84,
2025-01-09 15:28:12,KBS연구관앞 노상주차장(구),59,
2025-01-09 15:28:12,KBS별관옆 노상주차장(구),18,
2025-01-09 15:28:12,국민은행앞 노상주차장(구),13,
2025-01-09 15:28:12,MBC방송국뒤 노상주차장(구),63,
2025-01-09 15:28:12,KBS본관 앞 노상주차장(구),51,
2025-01-09 15:28:12,국민일보사옥앞 노상주차장(구),16,
2025-01-09 15:28:12,한국거래소앞 노상주차장(구),32,
2025-01-09 15:28:12,산업은행앞 노상주차장(구),11,
2025-01-09 15:28:12,진주아파트 옆 노상주차장(구),53,
2025-01-09 15:28:12,세우빌딩앞 노상주차장(구),12,
2025-01-09 15:28:12,KBS별관뒤 노상주차장(구),24,
2025-01-09 15:28:12,여의도공원앞3 노상주차장(구),6,
2025-01-09 15:28:12,한진해운 앞 노상주차장(구),17,
2025-01-09 15:28:12,화재보험협회 앞 노상주차장(구),16,
2025-01-09 15:28:12,호성빌딩 앞 노상주차장(구),20,
2025-01-09 15:28:12,중소기업중앙회 앞 노상주차장(구),5,
2025-01-09 15:28:12,미래에셋빌딩 앞 노상주차장(구),24,
2025-01-09 15:28:12,경호빌딩앞 노상주차장(구),9,
2025-01-09 15:28:12,여의도백화점 앞 노상주차장(구),13,
2025-01-09 15:28:12,한마루빌딩 주차장,59,
2025-01-09 15:28:12,심팩빌딩 주차장,99,
2025-01-09 15:28:12,대우증권 본사사옥 주차장,221,
2025-01-09 15:28:12,키움증권빌딩 주차장,152,
2025-01-09 15:28:12,여의도백화점 주차장,315,
2025-01-09 15:28:12,미원빌딩 주차장,50,
2025-01-09 15:28:12,하남빌딩 지하주차장,113,
2025-01-09 15:28:12,메종오피스텔 주차장,122,
2025-01-09 15:28:12,기계산업진흥회,261,
2025-01-09 15:28:12,동아빌딩앞 노상주차장(구),9,
2025-01-09 15:28:12,가톨릭대학교 성모병원,292,
2025-01-09 15:28:12,상아빌딩,30,
2025-01-09 15:28:12,영등포구 여의도동 45-20,74,
2025-01-09 15:28:12,유니온타워,58,
2025-01-09 15:28:12,한국잡지정보관,32,
2025-01-09 15:28:12,정곡빌딩,34,
2025-01-09 15:28:12,홍우빌딩 앞 노상주차장(구),9,
2025-01-09 15:28:12,신흥증권앞 노상주차장(구),11,
2025-01-09 15:28:12,태양빌딩앞 노상주차장(구),10,
2025-01-09 15:28:12,여의도공원앞2 노상주차장(구),14,
2025-01-09 15:28:12,롯데캐슬앞 노상주차장(구),9,
2025-01-09 15:28:12,舊MBC뒤(구),63,
2025-01-09 15:28:12,원효대교 남단 공영주차장(시),13,
2025-01-09 15:28:12,경도상가앞 노상주차장(구),15,
2025-01-09 15:28:12,산업은행앞(구),11,
2025-01-09 15:28:12,렉싱턴호텔뒤 노상주차장(구),11,
2025-01-09 15:28:12,63스퀘어(63빌딩),638,
2025-01-09 15:28:12,여의도 사학연금(TP타워),570,
2025-01-09 15:28:12,전국경제인연합회,632,
2025-01-09 15:28:12,한국교직원공제회관,341,
2025-01-09 15:28:12,63길 주차장(민영),200,
2025-01-09 15:28:12,이룸센터 주차장(민영),101,
2025-01-09 15:28:12,KBS본관뒤(구),39,
2025-01-09 15:28:12,여의도공원 공영주차장(시),48,
2025-01-09 15:28:12,세우빌딩,49,
2025-01-09 15:28:12,제일빌딩 주차장,74,
2025-01-09 15:28:12,가든빌딩 주차장,10,
2025-01-09 15:28:12,KBS별관 방문객 주차장,272,
2025-01-09 15:28:12,여의도한강공원1주차장(63빌딩앞),462,
2025-01-09 15:28:12,여의도한강2주차장(마포대교남단),171,
2025-01-09 15:28:12,여의도한강4주차장(여의2교-하부파천교),141,
