PRK_NM,PRK_CD,PRK_TYPE,CPCTY,CUR_PRK_CNT,CUR_PRK_TIME,CUR_PRK_YN,PAY_YN,RATES,TIME_RATES,ADD_RATES,ADD_TIME_RATES,ADDRESS,ROAD_ADDR,LNG,LAT
여의도호텔(舊세우빌딩)앞(구),3195076,NS,7,,,N,Y,500,5,500,5,영등포구 여의도동 1-2,,126.92577238571428,37.53058119999999
동아빌딩앞(구),2876385,NS,9,,,N,Y,500,5,500,5,영등포구 여의도동 1-4,,126.9205180111111,37.529252033333336
금융투자교육원앞(舊경호빌딩)(구),3103861,NS,9,,,N,Y,500,5,500,5,영등포구 여의도동 2-5,,126.9261321,37.52355138888889
여의도순복음교회,3125764,BS,200,,,N,Y,2000,30,300,10,영등포구 여의도동 11-0,,126.923127,37.530887
여의도순복음교회,3125764,BS,118,,,N,Y,2000,30,300,10,영등포구 여의도동 11-17,,126.923798,37.530077
현대차증권빌딩,3077849,BS,291,,,N,Y,3000,30,1000,10,영등포구 여의도동 23-9,,126.924518,37.52406
IFC 서울 주차장,1415438,BS,2085,,,N,Y,3000,30,1000,10,영등포구 여의도동 23-0,,126.92532318,37.52497241
여의도공원앞1 노상주차장(구),119824,NS,14,,,N,Y,500,5,1000,10,영등포구 여의도동 2-11,,126.91864288214286,37.52470652857143
리버타워,2945233,BS,513,,,N,Y,1000,10,1000,10,영등포구 여의도동 61-5,,126.93865,37.519432
금융투자협회,2953971,BS,315,,,N,Y,3000,30,1000,10,영등포구 여의도동 45-2,,126.927645,37.519058
여의서로 공영주차장(시),1561603,NS,84,,,N,Y,160,5,160,5,영등포구 여의도동 8-1,,126.91350152511905,37.53257551833333
KBS연구관앞 노상주차장(구),1545407,NS,59,,,N,Y,500,5,1000,10,영등포구 여의도동 1-876,,126.91522547576271,37.52680135322034
KBS별관옆 노상주차장(구),1545408,NS,18,,,N,Y,500,5,1000,10,영등포구 여의도동 4-4,,126.93018787,37.51911242333333
국민은행앞 노상주차장(구),1545410,NS,13,,,N,Y,500,5,1000,10,영등포구 여의도동 15-22,,126.91902980076922,37.528578152307695
MBC방송국뒤 노상주차장(구),1543292,NS,63,,,N,Y,500,5,1000,10,영등포구 여의도동 3-1,,126.93101946714285,37.523858133333334
KBS본관 앞 노상주차장(구),1543307,NS,51,,,N,Y,500,5,1000,10,영등포구 여의도동 1-7,,126.9175064509804,37.5261449227451
국민일보사옥앞 노상주차장(구),1543324,NS,16,,,N,Y,500,5,1000,10,영등포구 여의도동 12-0,,126.9248026325,37.529582734375
한국거래소앞 노상주차장(구),1543335,NS,32,,,N,Y,500,5,1000,10,영등포구 여의도동 3-3,,126.92857317625,37.522566979375
산업은행앞 노상주차장(구),1543279,NS,11,,,N,Y,500,5,500,5,영등포구 여의도동 16-0,,126.92013587181819,37.52748618454546
진주아파트 옆 노상주차장(구),1545155,NS,53,,,N,Y,500,5,1000,10,영등포구 여의도동 54-4,,126.93313375,37.51837480849056
세우빌딩앞 노상주차장(구),1542826,NS,12,,,N,Y,500,5,1000,10,영등포구 여의도동 10-0,,126.92554314333334,37.53037421083334
KBS별관뒤 노상주차장(구),1542854,NS,24,,,N,Y,500,5,500,5,영등포구 여의도동 4-5,,126.92876793291667,37.51905417
여의도공원앞3 노상주차장(구),1545107,NS,6,,,N,Y,500,5,1000,10,영등포구 여의도동 2-11,,126.9239626,37.528012706666665
한진해운 앞 노상주차장(구),1545502,NS,17,,,N,Y,500,5,1000,10,영등포구 여의도동 2-3,,126.9252069517647,37.52307475
화재보험협회 앞 노상주차장(구),1545508,NS,16,,,N,Y,500,5,1000,10,영등포구 여의도동 3-5,,126.92648154125,37.521181210625
호성빌딩 앞 노상주차장(구),1545228,NS,20,,,N,Y,500,5,1000,10,영등포구 여의도동 4-4,,126.92920204049999,37.520157903
